number	created_at	merged_at	state	title	user	time_to_merge
1075	2023-07-01 10:09:41+00:00	2023-07-03 11:59:19+00:00	closed	[MAINT] upgrade python packaging	Remi-Gau	2
1073	2023-07-01 09:11:22+00:00	2023-07-01 12:25:50+00:00	closed	[REL] 0.3.1	Remi-Gau	0
1070	2023-06-25 18:15:22+00:00	2023-06-25 18:20:12+00:00	closed	[FIX] fix demo vismotion	Remi-Gau	0
1060	2023-06-19 19:19:55+00:00	2023-06-19 21:49:32+00:00	closed	[FIX] exclude late events	Remi-Gau	0
1058	2023-06-19 18:31:37+00:00	2023-06-19 19:19:30+00:00	closed	[FIX] fix dead links in changelog	Remi-Gau	0
1057	2023-06-19 12:26:21+00:00	2023-06-19 16:59:53+00:00	closed	[FIX] remove dummies from preproc and not raw when using cli	Remi-Gau	0
1056	2023-06-19 11:31:52+00:00	2023-06-19 12:24:59+00:00	closed	[DOC] add changelog	Remi-Gau	0
1055	2023-06-19 10:35:03+00:00	2023-06-19 14:52:58+00:00	closed	[FIX] check for bids-ish and non bids metadata for T1map generation	Remi-Gau	0
1054	2023-06-19 10:04:03+00:00	2023-06-19 11:50:08+00:00	closed	[FIX] skip smoothing when running bidspm prepoc in dryRun	Remi-Gau	0
1053	2023-06-19 08:51:48+00:00	2023-06-19 13:17:52+00:00	closed	[FIX] Fix the way the voxel size is computed	Remi-Gau	0
1051	2023-06-18 23:15:39+00:00	2023-06-19 09:17:07+00:00	closed	[ENH] overwrite files when renaming by default	Remi-Gau	0
1050	2023-06-18 22:59:36+00:00	2023-06-19 06:31:14+00:00	closed	[ENH] add proper error when a column cannot be found in participants.tsv	Remi-Gau	0
1048	2023-06-18 20:09:13+00:00	2023-06-18 22:42:10+00:00	closed	[INFRA] update submodules and split windows testing	Remi-Gau	0
1034	2023-05-26 12:45:22+00:00	2023-06-19 10:36:38+00:00	closed	[FIX] handle phase entity in filename	Remi-Gau	23
1026	2023-05-18 03:37:36+00:00	2023-05-18 15:37:23+00:00	closed	[ENH] update CPP ROI and add methods section for ROI creation	Remi-Gau	0
1024	2023-05-11 11:32:28+00:00	2023-05-11 21:38:27+00:00	closed	[INFRA] randomize tests and update submodules	Remi-Gau	0
1021	2023-05-08 13:14:32+00:00	2023-05-08 16:42:24+00:00	closed	[FIX] fix group level results after contrasts smoothing 	Remi-Gau	0
1020	2023-05-08 11:24:32+00:00	2023-05-08 12:06:09+00:00	closed	[DOC] minor doc fixes	Remi-Gau	0
1015	2023-05-07 16:16:41+00:00	2023-05-08 16:40:00+00:00	closed	[FIX] copy to derivatives handles bids filter file and minimize re copying files that already exist	Remi-Gau	1
1014	2023-05-07 02:11:17+00:00	2023-05-07 14:12:08+00:00	closed	[DOC] Improve doc example out stats	Remi-Gau	0
